DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
31,0.526315789,11,9,20,87,18,20,0,1,20,1702,10,4,5.2151,24,0,0,0,0,1,-10,1273,2,2,436,0,0,0,0,76,71,49,0.614307,0.324878302,2.475671188
151,0.526315789,11,10,23,152,20,19,1,2,19,1684,12,2,5.0474,31,0,0,0,0,1,4,98,3,2,204,0,0,0,0,64,72,36,0.614307,0.458911452,2.974050903
90,0.131578947,11,12,3,152,20,20,0,1,20,1793,17,3,5.1891,11,0,0,1,0,0,-68,291,5,2,433,0,0,0,0,89,77,50,0.614307,0.377137931,2.720985744
67,1.052631579,11,11,13,87,20,20,0,1,20,1307,16,8,4.7812,16,0,0,0,0,0,-69,863,4,2,182,0,0,0,0,47,45,30,0.614307,0.389115423,2.609594409
43,1.052631579,11,12,18,87,15,14,6,1,14,1435,8,9,5.0774,17,0,0,0,0,1,-40,1155,5,2,357,0,0,0,0,36,53,40,0.614307,0.7301714,2.58546073
61,0.15037594,11,13,3,152,20,18,2,2,18,1859,10,1,4.9586,33,0,0,0,0,0,-44,262,6,2,445,0,0,0,0,78,73,36,0.614307,0.439966217,2.485721426
92,0.014035088,11,13,11,87,18,15,5,2,15,1851,7,0,5.1475,19,0,0,1,0,1,-23,788,6,2,320,0,0,0,0,79,62,49,0.614307,0.3531391,1.633468456
329,1.052631579,11,15,7,58,19,16,4,2,16,1718,16,0,5.1125,12,0,0,0,0,0,-27,769,1,3,28,0,0,0,0,79,51,52,0.614307,0.383155457,3.116939647
65,0.08097166,11,12,3,152,20,20,0,1,20,2012,4,5,5.1714,24,0,0,0,0,0,-55,266,5,2,277,0,0,0,0,67,71,61,0.614307,0.449335219,2.631443769
14,0.175438596,11,12,21,152,16,8,12,2,8,902,13,2,4.3234,14,0,0,0,0,0,-86,1279,5,2,311,0,0,0,0,25,22,37,0.614307,0.060992908,2.326335861
42,0.526315789,11,12,3,152,19,18,2,2,18,2236,22,5,5.1256,54,0,0,0,0,0,-55,243,5,2,147,0,0,0,0,82,76,89,0.614307,0.238519745,2.840106094
32,1.052631579,11,19,6,152,20,20,0,1,20,1633,9,3,5.2567,28,0,0,0,0,0,-56,400,5,3,388,0,0,0,0,75,54,69,0.614307,0.44783072,2.859738566
242,1.052631579,11,18,3,152,19,18,2,2,18,1125,12,4,4.4598,13,0,0,0,0,0,-82,448,4,3,250,0,0,0,0,43,28,40,0.614307,0.586013093,3.088136089
116,0.175438596,11,19,3,132,20,20,0,1,20,2170,9,3,5.4635,30,0,0,0,0,0,-58,317,5,3,390,0,0,0,0,89,76,69,0.614307,0.649871848,2.413299764
86,0.263157895,11,20,6,132,18,14,6,2,14,1580,8,4,5.0373,14,0,0,0,0,1,-32,456,6,3,57,0,0,0,0,65,33,39,0.614307,0.887383768,2.161368002
137,0.00374602,11,19,13,87,18,14,6,2,14,1662,9,3,4.9582,54,0,0,0,0,1,-48,932,5,3,116,0,0,0,0,63,59,73,0.614307,0.873488028,1.342422681
41,0.263157895,11,22,20,152,18,14,6,2,14,721,7,3,4.0492,3,0,0,0,0,0,-12,1279,1,4,457,0,0,0,0,42,19,16,0.614307,0.303663035,2.394451681
11,0.035087719,11,23,12,152,18,18,2,2,18,1060,5,2,4.6436,10,0,0,0,0,1,3,756,2,4,233,0,0,0,0,49,23,37,0.614307,0.296816105,1.892094603
167,0.526315789,11,23,8,152,20,16,4,2,16,1424,4,3,4.904,12,0,0,0,0,1,-27,705,2,4,240,0,0,0,0,77,47,43,0.614307,0.599481652,2.522444234
47,0.210526316,11,25,3,152,20,20,0,1,20,2148,3,2,5.5407,39,0,0,0,0,0,14,247,4,4,436,0,0,0,0,81,68,79,0.614307,0.37412307,2.193124598
91,0.350877193,11,26,3,152,20,19,1,2,19,2330,11,7,5.4686,65,0,0,0,0,0,-19,292,5,4,334,0,0,0,0,109,85,69,0.614307,0.439415721,2.838849091
317,0.004784689,11,25,18,58,19,16,4,2,16,1210,8,3,4.7051,11,0,0,1,0,0,-27,7,4,4,382,0,0,0,0,24,68,34,0.614307,0.9537486,1.505149978
607,1.052631579,11,29,21,58,20,19,1,2,19,1291,7,2,4.6876,16,0,0,0,0,0,9,456,1,5,165,0,0,0,0,79,28,42,0.614307,0.375624257,2.876217841
