DELAY,RATE,MONTH,DAY,HOUR,TOPIC,UNIQUE USERS,THREAD,REPLYS,DEPTH,WIDTH,WORDS NUM,NUM QUESTION,NUM EXCLAMATION,COMPLEXITY,NUM COM E,FRAC E A,FRAC E C,QUESTION TL,EXCLAMATION TL,URL C,PUB TO APP,FC TO MIDNIGHT,DAY OF WEEK,WEEK OF MONTH,AUTHOR,Art Len,Art Neg,Art Pos,Art Hostile,20 Com Neg,20 Com Pos,20 Com Hostile,Art Sentiment Score,10 Com Sentiment Score,Volume
70,0.350877193,4,15,17,132,16,14,6,2,14,1078,13,24,4.506,10,0.1081,0.5714,0,0,0,-640,1091,6,3,276,1433,56,33,43,42,21,35,0.999996,0.555183013,2.482873584
54,1.052631579,4,16,13,132,15,13,7,3,13,1012,18,2,4.6113,5,0.0833,0.6667,0,0,0,-620,841,7,3,402,479,12,11,9,33,34,22,0.999897,0.453613677,3.311117843
64,0.526315789,4,16,23,87,19,20,0,1,20,2352,8,1,5.7491,37,0.4,0.6154,0,0,0,-610,21,7,3,571,1164,42,54,29,88,109,54,1,0.418845765,2.947433722
192,0.105263158,4,17,12,87,17,14,6,3,14,223,8,12,2.8418,2,0,0,0,0,0,-597,931,1,4,312,227,3,6,3,7,5,10,1,0.417599549,2.184691431
68,1.052631579,4,14,12,591,14,12,8,2,12,493,5,1,3.7226,3,0.0286,0.3333,0,0,0,-668,829,5,3,143,1383,50,50,31,20,16,11,0.999999,0.556153198,2.683947131
84,0.350877193,4,16,14,591,17,17,3,2,17,926,7,5,4.554,16,0.25,0.3846,1,0,0,-619,953,7,3,285,605,22,19,12,37,40,29,0.830262,0.278298359,2.096910013
68,1.052631579,4,16,22,152,15,12,8,3,12,611,7,5,3.7262,4,0.0625,0.3333,0,0,1,-610,1428,7,3,1,313,4,5,15,19,27,17,4.01E-07,0.597968542,2.721810615
72,0.350877193,4,16,19,152,19,12,8,2,12,518,9,1,3.6699,16,0.1622,0.4,0,0,0,-614,1216,7,3,1,848,17,30,16,19,24,17,1,0.288029688,2.894869657
75,0.350877193,4,17,18,152,17,16,4,2,16,1033,13,3,4.6018,9,0.1154,0.3333,0,0,0,-590,1203,1,4,146,777,24,22,17,37,41,18,0.574486,0.44191276,2.499687083
76,0.210526316,4,17,22,152,13,10,10,4,10,553,6,1,3.6945,5,0.0526,0.2,0,0,1,-586,3,1,4,64,468,7,25,6,29,30,14,0.874716,0.753426821,2.198657087
